"","abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","height_m","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","type1","type2","weight_kg","generation","is_legendary","sprite","est_damage_output","est_damage_taken"
"25","['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,"190","Mouse Pokémon",40,1000000,0.4,35,"Pikachuピカチュウ","Pikachu",50,25,50,50,90,"electric",NA,6,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/25.png",0.766196013289037,1.55
"26","['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,"75","Mouse Pokémon",50,1000000,NA,60,"Raichuライチュウ","Raichu",50,26,95,85,110,"electric","electric",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/26.png",1.32291666666667,1.09058823529412
"27","['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,"255","Mouse Pokémon",90,1000000,NA,50,"Sandサンド","Sandshrew",50,27,10,35,40,"ground","ice",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/27.png",0.701923076923077,1.35912698412698
"28","['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,"90","Mouse Pokémon",120,1000000,NA,75,"Sandpanサンドパン","Sandslash",50,28,25,65,65,"ground","ice",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/28.png",1.04166666666667,0.830128205128205
"29","['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,"235","Poison Pin Pokémon",52,1059860,0.4,55,"Nidoran?ニドラン♀","Nidoran♀",0,29,40,40,41,"poison",NA,7,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/29.png",0.58,1.41826923076923
"30","['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,"120","Poison Pin Pokémon",67,1059860,0.8,70,"Nidorinaニドリーナ","Nidorina",0,30,55,55,56,"poison",NA,20,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/30.png",0.78,1.06105834464043
"31","['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,"45","Drill Pokémon",87,1059860,1.3,90,"Nidoqueenニドクイン","Nidoqueen",0,31,75,85,76,"poison","ground",60,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/31.png",1.24385736029572,0.751859364435429
"32","['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,"235","Poison Pin Pokémon",40,1059860,0.5,46,"Nidoran?ニドラン♂","Nidoran♂",100,32,40,40,50,"poison",NA,9,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/32.png",0.646666666666667,1.625
"33","['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,"120","Poison Pin Pokémon",57,1059860,0.9,61,"Nidorinoニドリーノ","Nidorino",100,33,55,55,65,"poison",NA,19.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/33.png",0.846666666666667,1.15151515151515
"34","['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,"45","Drill Pokémon",77,1059860,1.4,81,"Nidokingニドキング","Nidoking",100,34,85,75,85,"poison","ground",62,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/34.png",1.39175824175824,0.85021645021645
"35","['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,"150","Fairy Pokémon",48,800000,0.6,70,"Pippiピッピ","Clefairy",24.6,35,60,65,35,"fairy",NA,7.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/35.png",0.730754389349797,1.24038461538462
"36","['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,"25","Fairy Pokémon",73,800000,1.3,95,"Pixyピクシー","Clefable",24.6,36,95,90,60,"fairy",NA,40,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/36.png",1.14846613930156,0.853500761035008
"37","['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,"190","Fox Pokémon",40,1000000,NA,38,"Rokonロコン","Vulpix",24.6,37,50,65,65,"fire","ice",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/37.png",0.640845070422535,1.33173076923077
"38","['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,"75","Fox Pokémon",75,1000000,NA,73,"Kyukonキュウコン","Ninetales",24.6,38,81,100,109,"fire","ice",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/38.png",1.04225352112676,0.766666666666667
"39","['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,"170","Balloon Pokémon",20,800000,0.5,115,"Purinプリン","Jigglypuff",24.6,39,45,25,20,"normal","fairy",5.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/39.png",0.633802816901408,2.925
"40","['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,"50","Balloon Pokémon",45,800000,1,140,"Pukurinプクリン","Wigglytuff",24.6,40,85,50,45,"normal","fairy",12,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/40.png",1.09722222222222,1.37111111111111
"41","['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,"255","Bat Pokémon",35,1000000,0.8,40,"Zubatズバット","Zubat",50,41,30,40,55,"poison","flying",7.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/41.png",0.493715632364493,1.75
"42","['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,"90","Bat Pokémon",70,1000000,1.6,75,"Golbatゴルバット","Golbat",50,42,65,75,90,"poison","flying",55,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/42.png",0.947204968944099,0.9
"43","['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,"255","Weed Pokémon",55,1059860,0.5,45,"Nazonokusaナゾノクサ","Oddish",50,43,75,65,30,"grass","poison",5.4,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/43.png",0.813492063492063,0.940559440559441
"44","['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,"120","Weed Pokémon",70,1059860,0.8,60,"Kusaihanaクサイハナ","Gloom",50,44,85,75,40,"grass","poison",8.6,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/44.png",0.968253968253968,0.767857142857143
"45","['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,"45","Flower Pokémon",85,1059860,1.2,75,"Ruffresiaラフレシア","Vileplume",50,45,110,90,50,"grass","poison",18.6,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/45.png",1.23015873015873,0.63562091503268
"46","['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,"190","Mushroom Pokémon",55,1000000,0.3,35,"Parasパラス","Paras",50,46,45,55,25,"bug","grass",5.4,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/46.png",0.766666666666667,1.05454545454545
"47","['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,"75","Mushroom Pokémon",80,1000000,1,60,"Parasectパラセクト","Parasect",50,47,60,80,30,"bug","grass",29.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/47.png",1.03333333333333,0.725
"48","['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,"190","Insect Pokémon",50,1000000,1,60,"Kongpangコンパン","Venonat",50,48,40,55,45,"bug","poison",30,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/48.png",0.65952380952381,1.12
"49","['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,"75","Poison Moth Pokémon",60,1000000,1.5,70,"Morphonモルフォン","Venomoth",50,49,90,75,90,"bug","poison",12.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/49.png",1.07466063348416,0.89
"50","['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,"255","Mole Pokémon",30,1000000,NA,10,"Digdaディグダ","Diglett",50,50,35,45,90,"ground","ground",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/50.png",0.747869318181818,2
"51","['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,"50","Mole Pokémon",60,1000000,NA,35,"Dugtrioダグトリオ","Dugtrio",50,51,50,70,110,"ground","ground",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/51.png",1.25,1.11428571428571
"52","['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,"255","Scratch Cat Pokémon",35,1000000,NA,40,"Nyarthニャース","Meowth",50,52,50,40,90,"normal","dark",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/52.png",0.64,1.74107142857143
"53","['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,"90","Classy Cat Pokémon",60,1000000,NA,65,"Persianペルシアン","Persian",50,53,75,65,115,"normal","dark",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/53.png",1.00746268656716,1.03846153846154
"54","['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,"190","Duck Pokémon",48,1000000,0.8,50,"Koduckコダック","Psyduck",50,54,65,50,55,"water",NA,19.6,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/54.png",0.804761904761905,1.33958333333333
"55","['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,"75","Duck Pokémon",78,1000000,1.7,80,"Golduckゴルダック","Golduck",50,55,95,80,85,"water",NA,76.6,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/55.png",1.2131221719457,0.827724358974359
"56","['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,"190","Pig Monkey Pokémon",35,1000000,0.5,40,"Mankeyマンキー","Mankey",50,56,35,45,70,"fighting",NA,28,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/56.png",0.809941520467836,1.65873015873016
"57","['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,"75","Pig Monkey Pokémon",60,1000000,1,65,"Okorizaruオコリザル","Primeape",50,57,60,70,95,"fighting",NA,32,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/57.png",1.17421922841396,1.00595238095238
"58","['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,"190","Puppy Pokémon",45,1250000,0.7,55,"Gardieガーディ","Growlithe",75.4,58,70,50,60,"fire",NA,19,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/58.png",0.978559176672384,1.38888888888889
"59","['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,"75","Legendary Pokémon",80,1250000,1.9,90,"Windieウインディ","Arcanine",75.4,59,100,80,95,"fire",NA,155,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/59.png",1.4802137251628,0.8125
"60","['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,"255","Tadpole Pokémon",40,1059860,0.6,40,"Nyoromoニョロモ","Poliwag",50,60,40,40,90,"water",NA,12.4,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/60.png",0.619909502262443,1.625
"61","['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,"120","Tadpole Pokémon",65,1059860,1,65,"Nyorozoニョロゾ","Poliwhirl",50,61,50,50,90,"water",NA,20,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/61.png",0.794117647058824,1.15
"62","['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,"45","Tadpole Pokémon",95,1059860,1.3,90,"Nyorobonニョロボン","Poliwrath",50,62,70,90,70,"water","fighting",54,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/62.png",1.03125,0.710526315789474
"63","['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,"200","Psi Pokémon",15,1059860,0.9,25,"Caseyケーシィ","Abra",75.4,63,105,55,90,"psychic",NA,19.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/63.png",0.980106100795756,2.89393939393939
"64","['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,"100","Psi Pokémon",30,1059860,1.3,40,"Yungererユンゲラー","Kadabra",75.4,64,120,70,105,"psychic",NA,56.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/64.png",1.21875,1.62619047619048
"65","['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,"50","Psi Pokémon",65,1059860,1.5,55,"Foodinフーディン","Alakazam",75.4,65,175,105,150,"psychic",NA,48,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/65.png",1.77083333333333,0.844322344322344
