"abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","height_m","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","type1","type2","weight_kg","generation","is_legendary","sprite","icon"
"['Shed Skin']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,"120","Cocoon Pokémon",55,1000000,0.7,50,"Transelトランセル","Metapod",50,11,25,25,30,"bug",NA,9.9,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/11.png","url(http://cdn.bulbagarden.net/upload/c/ce/011MS.png)"
"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,"45","Butterfly Pokémon",50,1000000,1.1,60,"Butterfreeバタフリー","Butterfree",50,12,90,80,70,"bug","flying",32,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/12.png","url(http://cdn.bulbagarden.net/upload/1/14/012MS.png)"
"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,"255","Hairy Pokémon",30,1000000,0.3,40,"Beedleビードル","Weedle",50,13,20,20,50,"bug","poison",3.2,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/13.png","url(http://cdn.bulbagarden.net/upload/6/65/013MS.png)"
"['Shed Skin']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,"120","Cocoon Pokémon",50,1000000,0.6,45,"Cocoonコクーン","Kakuna",50,14,25,25,35,"bug","poison",10,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/14.png","url(http://cdn.bulbagarden.net/upload/8/81/014MS.png)"
"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,"45","Poison Bee Pokémon",40,1000000,1,65,"Spearスピアー","Beedrill",50,15,15,80,145,"bug","poison",29.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/15.png","url(http://cdn.bulbagarden.net/upload/5/5a/015MS.png)"
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,"255","Tiny Bird Pokémon",40,1059860,0.3,40,"Poppoポッポ","Pidgey",50,16,35,35,56,"normal","flying",1.8,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/16.png","url(http://cdn.bulbagarden.net/upload/9/9c/016MS.png)"
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,"120","Bird Pokémon",55,1059860,1.1,63,"Pigeonピジョン","Pidgeotto",50,17,50,50,71,"normal","flying",30,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/17.png","url(http://cdn.bulbagarden.net/upload/a/a9/017MS.png)"
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,"45","Bird Pokémon",80,1059860,1.5,83,"Pigeotピジョット","Pidgeot",50,18,135,80,121,"normal","flying",39.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/18.png","url(http://cdn.bulbagarden.net/upload/6/68/018MS.png)"
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,"255","Mouse Pokémon",35,1000000,NA,30,"Korattaコラッタ","Rattata",50,19,25,35,72,"normal","dark",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/19.png","url(http://cdn.bulbagarden.net/upload/4/4d/019MS.png)"
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,"127","Mouse Pokémon",70,1000000,NA,75,"Rattaラッタ","Raticate",50,20,40,80,77,"normal","dark",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/20.png","url(http://cdn.bulbagarden.net/upload/4/4d/020MS.png)"
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,"255","Tiny Bird Pokémon",30,1000000,0.3,40,"Onisuzumeオニスズメ","Spearow",50,21,31,31,70,"normal","flying",2,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/21.png","url(http://cdn.bulbagarden.net/upload/5/5b/021MS.png)"
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,"90","Beak Pokémon",65,1000000,1.2,65,"Onidrillオニドリル","Fearow",50,22,61,61,100,"normal","flying",38,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/22.png","url(http://cdn.bulbagarden.net/upload/3/35/022MS.png)"
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,"255","Snake Pokémon",44,1000000,2,35,"Arboアーボ","Ekans",50,23,40,54,55,"poison",NA,6.9,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/23.png","url(http://cdn.bulbagarden.net/upload/0/0d/023MS.png)"
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,"90","Cobra Pokémon",69,1000000,3.5,60,"Arbokアーボック","Arbok",50,24,65,79,80,"poison",NA,65,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/24.png","url(http://cdn.bulbagarden.net/upload/d/d3/024MS.png)"
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,"190","Mouse Pokémon",40,1000000,0.4,35,"Pikachuピカチュウ","Pikachu",50,25,50,50,90,"electric",NA,6,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/25.png","url(http://cdn.bulbagarden.net/upload/0/0f/025MS.png)"
"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,"75","Mouse Pokémon",50,1000000,NA,60,"Raichuライチュウ","Raichu",50,26,95,85,110,"electric","electric",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/26.png","url(http://cdn.bulbagarden.net/upload/d/da/026MS.png)"
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,"255","Mouse Pokémon",90,1000000,NA,50,"Sandサンド","Sandshrew",50,27,10,35,40,"ground","ice",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/27.png","url(http://cdn.bulbagarden.net/upload/c/c3/027MS.png)"
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,"90","Mouse Pokémon",120,1000000,NA,75,"Sandpanサンドパン","Sandslash",50,28,25,65,65,"ground","ice",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/28.png","url(http://cdn.bulbagarden.net/upload/e/e0/028MS.png)"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,"235","Poison Pin Pokémon",52,1059860,0.4,55,"Nidoran?ニドラン♀","Nidoran♀",0,29,40,40,41,"poison",NA,7,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/29.png","url(http://cdn.bulbagarden.net/upload/a/ab/029MS.png)"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,"120","Poison Pin Pokémon",67,1059860,0.8,70,"Nidorinaニドリーナ","Nidorina",0,30,55,55,56,"poison",NA,20,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/30.png","url(http://cdn.bulbagarden.net/upload/d/d0/030MS.png)"
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,"45","Drill Pokémon",87,1059860,1.3,90,"Nidoqueenニドクイン","Nidoqueen",0,31,75,85,76,"poison","ground",60,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/31.png","url(http://cdn.bulbagarden.net/upload/3/31/031MS.png)"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,"235","Poison Pin Pokémon",40,1059860,0.5,46,"Nidoran?ニドラン♂","Nidoran♂",100,32,40,40,50,"poison",NA,9,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/32.png","url(http://cdn.bulbagarden.net/upload/f/fb/032MS.png)"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,"120","Poison Pin Pokémon",57,1059860,0.9,61,"Nidorinoニドリーノ","Nidorino",100,33,55,55,65,"poison",NA,19.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/33.png","url(http://cdn.bulbagarden.net/upload/0/0e/033MS.png)"
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,"45","Drill Pokémon",77,1059860,1.4,81,"Nidokingニドキング","Nidoking",100,34,85,75,85,"poison","ground",62,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/34.png","url(http://cdn.bulbagarden.net/upload/1/18/034MS.png)"
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,"150","Fairy Pokémon",48,800000,0.6,70,"Pippiピッピ","Clefairy",24.6,35,60,65,35,"fairy",NA,7.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/35.png","url(http://cdn.bulbagarden.net/upload/f/f9/035MS.png)"
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,"25","Fairy Pokémon",73,800000,1.3,95,"Pixyピクシー","Clefable",24.6,36,95,90,60,"fairy",NA,40,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/36.png","url(http://cdn.bulbagarden.net/upload/7/75/036MS.png)"
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,"190","Fox Pokémon",40,1000000,NA,38,"Rokonロコン","Vulpix",24.6,37,50,65,65,"fire","ice",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/37.png","url(http://cdn.bulbagarden.net/upload/8/85/037MS.png)"
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,"75","Fox Pokémon",75,1000000,NA,73,"Kyukonキュウコン","Ninetales",24.6,38,81,100,109,"fire","ice",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/38.png","url(http://cdn.bulbagarden.net/upload/1/10/038MS.png)"
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,"170","Balloon Pokémon",20,800000,0.5,115,"Purinプリン","Jigglypuff",24.6,39,45,25,20,"normal","fairy",5.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/39.png","url(http://cdn.bulbagarden.net/upload/9/9c/039MS.png)"
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,"50","Balloon Pokémon",45,800000,1,140,"Pukurinプクリン","Wigglytuff",24.6,40,85,50,45,"normal","fairy",12,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/40.png","url(http://cdn.bulbagarden.net/upload/f/f1/040MS.png)"
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,"255","Bat Pokémon",35,1000000,0.8,40,"Zubatズバット","Zubat",50,41,30,40,55,"poison","flying",7.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/41.png","url(http://cdn.bulbagarden.net/upload/9/96/041MS.png)"
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,"90","Bat Pokémon",70,1000000,1.6,75,"Golbatゴルバット","Golbat",50,42,65,75,90,"poison","flying",55,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/42.png","url(http://cdn.bulbagarden.net/upload/d/d0/042MS.png)"
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,"255","Weed Pokémon",55,1059860,0.5,45,"Nazonokusaナゾノクサ","Oddish",50,43,75,65,30,"grass","poison",5.4,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/43.png","url(http://cdn.bulbagarden.net/upload/a/a5/043MS.png)"
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,"120","Weed Pokémon",70,1059860,0.8,60,"Kusaihanaクサイハナ","Gloom",50,44,85,75,40,"grass","poison",8.6,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/44.png","url(http://cdn.bulbagarden.net/upload/d/d9/044MS.png)"
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,"45","Flower Pokémon",85,1059860,1.2,75,"Ruffresiaラフレシア","Vileplume",50,45,110,90,50,"grass","poison",18.6,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/45.png","url(http://cdn.bulbagarden.net/upload/3/3e/045MS.png)"
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,"190","Mushroom Pokémon",55,1000000,0.3,35,"Parasパラス","Paras",50,46,45,55,25,"bug","grass",5.4,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/46.png","url(http://cdn.bulbagarden.net/upload/7/7a/046MS.png)"
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,"75","Mushroom Pokémon",80,1000000,1,60,"Parasectパラセクト","Parasect",50,47,60,80,30,"bug","grass",29.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/47.png","url(http://cdn.bulbagarden.net/upload/4/41/047MS.png)"
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,"190","Insect Pokémon",50,1000000,1,60,"Kongpangコンパン","Venonat",50,48,40,55,45,"bug","poison",30,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/48.png","url(http://cdn.bulbagarden.net/upload/1/1e/048MS.png)"
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,"75","Poison Moth Pokémon",60,1000000,1.5,70,"Morphonモルフォン","Venomoth",50,49,90,75,90,"bug","poison",12.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/49.png","url(http://cdn.bulbagarden.net/upload/3/31/049MS.png)"
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,"255","Mole Pokémon",30,1000000,NA,10,"Digdaディグダ","Diglett",50,50,35,45,90,"ground","ground",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/50.png","url(http://cdn.bulbagarden.net/upload/8/8b/050MS.png)"
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,"50","Mole Pokémon",60,1000000,NA,35,"Dugtrioダグトリオ","Dugtrio",50,51,50,70,110,"ground","ground",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/51.png","url(http://cdn.bulbagarden.net/upload/8/86/051MS.png)"
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,"255","Scratch Cat Pokémon",35,1000000,NA,40,"Nyarthニャース","Meowth",50,52,50,40,90,"normal","dark",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/52.png","url(http://cdn.bulbagarden.net/upload/5/50/052MS.png)"
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,"90","Classy Cat Pokémon",60,1000000,NA,65,"Persianペルシアン","Persian",50,53,75,65,115,"normal","dark",NA,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/53.png","url(http://cdn.bulbagarden.net/upload/a/a7/053MS.png)"
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,"190","Duck Pokémon",48,1000000,0.8,50,"Koduckコダック","Psyduck",50,54,65,50,55,"water",NA,19.6,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/54.png","url(http://cdn.bulbagarden.net/upload/6/6b/054MS.png)"
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,"75","Duck Pokémon",78,1000000,1.7,80,"Golduckゴルダック","Golduck",50,55,95,80,85,"water",NA,76.6,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/55.png","url(http://cdn.bulbagarden.net/upload/6/64/055MS.png)"
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,"190","Pig Monkey Pokémon",35,1000000,0.5,40,"Mankeyマンキー","Mankey",50,56,35,45,70,"fighting",NA,28,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/56.png","url(http://cdn.bulbagarden.net/upload/a/ad/056MS.png)"
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,"75","Pig Monkey Pokémon",60,1000000,1,65,"Okorizaruオコリザル","Primeape",50,57,60,70,95,"fighting",NA,32,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/57.png","url(http://cdn.bulbagarden.net/upload/f/f1/057MS.png)"
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,"190","Puppy Pokémon",45,1250000,0.7,55,"Gardieガーディ","Growlithe",75.4,58,70,50,60,"fire",NA,19,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/58.png","url(http://cdn.bulbagarden.net/upload/6/69/058MS.png)"
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,"75","Legendary Pokémon",80,1250000,1.9,90,"Windieウインディ","Arcanine",75.4,59,100,80,95,"fire",NA,155,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/59.png","url(http://cdn.bulbagarden.net/upload/3/35/059MS.png)"
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,"255","Tadpole Pokémon",40,1059860,0.6,40,"Nyoromoニョロモ","Poliwag",50,60,40,40,90,"water",NA,12.4,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/60.png","url(http://cdn.bulbagarden.net/upload/1/17/060MS.png)"
