"abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","generation","is_legendary","sprite","icon","type","type1","type2","height_ft","height_m","weight_lbs","weight_kgs","bmi","avg_total"
"['Shed Skin']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,"Cocoon Pokémon",55,1000000,50,"Transelトランセル","Metapod",50,11,25,25,30,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/11.png","http://cdn.bulbagarden.net/upload/c/ce/011MS.png","Bug","Bug","","2′04″",0.7,21.8,9.9,20.2,34.1666666666667
"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,"Butterfly Pokémon",50,1000000,60,"Butterfreeバタフリー","Butterfree",50,12,90,80,70,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/12.png","http://cdn.bulbagarden.net/upload/1/14/012MS.png","Bug/Flying","Bug","Flying","3′07″",1.1,70.5,32,26.4,65.8333333333333
"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,"Hairy Pokémon",30,1000000,40,"Beedleビードル","Weedle",50,13,20,20,50,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/13.png","http://cdn.bulbagarden.net/upload/6/65/013MS.png","Bug/Poison","Bug","Poison","1′00″",0.3,7.1,3.2,35.6,32.5
"['Shed Skin']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,"Cocoon Pokémon",50,1000000,45,"Cocoonコクーン","Kakuna",50,14,25,25,35,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/14.png","http://cdn.bulbagarden.net/upload/8/81/014MS.png","Bug/Poison","Bug","Poison","2′00″",0.6,22,10,27.8,34.1666666666667
"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,"Poison Bee Pokémon",40,1000000,65,"Spearスピアー","Beedrill",50,15,15,80,145,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/15.png","http://cdn.bulbagarden.net/upload/5/5a/015MS.png","Bug/Poison","Bug","Poison","3′03″",1,65,29.5,29.5,82.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,"Tiny Bird Pokémon",40,1059860,40,"Poppoポッポ","Pidgey",50,16,35,35,56,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/16.png","http://cdn.bulbagarden.net/upload/9/9c/016MS.png","Normal/Flying","Normal","Flying","1′00″",0.3,4,1.8,20,41.8333333333333
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,"Bird Pokémon",55,1059860,63,"Pigeonピジョン","Pidgeotto",50,17,50,50,71,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/17.png","http://cdn.bulbagarden.net/upload/a/a9/017MS.png","Normal/Flying","Normal","Flying","3′07″",1.1,66.1,30,24.8,58.1666666666667
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,"Bird Pokémon",80,1059860,83,"Pigeotピジョット","Pidgeot",50,18,135,80,121,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/18.png","http://cdn.bulbagarden.net/upload/6/68/018MS.png","Normal/Flying","Normal","Flying","4′11″",1.5,87.1,39.5,17.6,96.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,"Mouse Pokémon",35,1000000,30,"Korattaコラッタ","Rattata",50,19,25,35,72,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/19.png","http://cdn.bulbagarden.net/upload/4/4d/019MS.png","Normal","Normal","","1′00″",0.3,7.7,3.5,38.9,42.1666666666667
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,"Mouse Pokémon",70,1000000,75,"Rattaラッタ","Raticate",50,20,40,80,77,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/20.png","http://cdn.bulbagarden.net/upload/4/4d/020MS.png","Normal","Normal","","2′04″",0.7,40.8,18.5,37.8,68.8333333333333
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,"Tiny Bird Pokémon",30,1000000,40,"Onisuzumeオニスズメ","Spearow",50,21,31,31,70,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/21.png","http://cdn.bulbagarden.net/upload/5/5b/021MS.png","Normal/Flying","Normal","Flying","1′00″",0.3,4.4,2,22.2,43.6666666666667
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,"Beak Pokémon",65,1000000,65,"Onidrillオニドリル","Fearow",50,22,61,61,100,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/22.png","http://cdn.bulbagarden.net/upload/3/35/022MS.png","Normal/Flying","Normal","Flying","3′11″",1.2,83.8,38,26.4,73.6666666666667
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,"Snake Pokémon",44,1000000,35,"Arboアーボ","Ekans",50,23,40,54,55,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/23.png","http://cdn.bulbagarden.net/upload/0/0d/023MS.png","Poison","Poison","","6′07″",2,15.2,6.9,1.7,48
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,"Cobra Pokémon",69,1000000,60,"Arbokアーボック","Arbok",50,24,65,79,80,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/24.png","http://cdn.bulbagarden.net/upload/d/d3/024MS.png","Poison","Poison","","11′06″",3.5,143.3,65,5.3,74.6666666666667
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,"Mouse Pokémon",40,1000000,35,"Pikachuピカチュウ","Pikachu",50,25,50,50,90,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/25.png","http://cdn.bulbagarden.net/upload/0/0f/025MS.png","Electric","Electric","","1′04″",0.4,13.2,6,37.5,53.3333333333333
"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,"Mouse Pokémon",50,1000000,60,"Raichuライチュウ","Raichu",50,26,95,85,110,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/26.png","http://cdn.bulbagarden.net/upload/d/da/026MS.png","Electric","Electric","","2′07″",0.8,66.1,30,46.9,80.8333333333333
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,"Mouse Pokémon",90,1000000,50,"Sandサンド","Sandshrew",50,27,10,35,40,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/27.png","http://cdn.bulbagarden.net/upload/c/c3/027MS.png","Ground","Ground","","2′00″",0.6,26.5,12,33.3,50
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,"Mouse Pokémon",120,1000000,75,"Sandpanサンドパン","Sandslash",50,28,25,65,65,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/28.png","http://cdn.bulbagarden.net/upload/e/e0/028MS.png","Ground","Ground","","3′03″",1,65,29.5,29.5,75
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,"Poison Pin Pokémon",52,1059860,55,"Nidoran?ニドラン♀","Nidoran♀",0,29,40,40,41,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/29.png","http://cdn.bulbagarden.net/upload/a/ab/029MS.png","Poison","Poison","","1′04″",0.4,15.4,7,43.8,45.8333333333333
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,"Poison Pin Pokémon",67,1059860,70,"Nidorinaニドリーナ","Nidorina",0,30,55,55,56,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/30.png","http://cdn.bulbagarden.net/upload/d/d0/030MS.png","Poison","Poison","","2′07″",0.8,44.1,20,31.3,60.8333333333333
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,"Drill Pokémon",87,1059860,90,"Nidoqueenニドクイン","Nidoqueen",0,31,75,85,76,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/31.png","http://cdn.bulbagarden.net/upload/3/31/031MS.png","Poison/Ground","Poison","Ground","4′03″",1.3,132.3,60,35.5,84.1666666666667
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,"Poison Pin Pokémon",40,1059860,46,"Nidoran?ニドラン♂","Nidoran♂",100,32,40,40,50,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/32.png","http://cdn.bulbagarden.net/upload/f/fb/032MS.png","Poison","Poison","","1′08″",0.5,19.8,9,36,45.5
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,"Poison Pin Pokémon",57,1059860,61,"Nidorinoニドリーノ","Nidorino",100,33,55,55,65,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/33.png","http://cdn.bulbagarden.net/upload/0/0e/033MS.png","Poison","Poison","","2′11″",0.9,43,19.5,24.1,60.8333333333333
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,"Drill Pokémon",77,1059860,81,"Nidokingニドキング","Nidoking",100,34,85,75,85,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/34.png","http://cdn.bulbagarden.net/upload/1/18/034MS.png","Poison/Ground","Poison","Ground","4′07″",1.4,136.7,62,31.6,84.1666666666667
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,"Fairy Pokémon",48,800000,70,"Pippiピッピ","Clefairy",24.6,35,60,65,35,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/35.png","http://cdn.bulbagarden.net/upload/f/f9/035MS.png","Fairy","Fairy","","2′00″",0.6,16.5,7.5,20.8,53.8333333333333
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,"Fairy Pokémon",73,800000,95,"Pixyピクシー","Clefable",24.6,36,95,90,60,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/36.png","http://cdn.bulbagarden.net/upload/7/75/036MS.png","Fairy","Fairy","","4′03″",1.3,88.2,40,23.7,80.5
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,"Fox Pokémon",40,1000000,38,"Rokonロコン","Vulpix",24.6,37,50,65,65,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/37.png","http://cdn.bulbagarden.net/upload/8/85/037MS.png","Fire","Fire","","2′00″",0.6,21.8,9.9,27.5,49.8333333333333
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,"Fox Pokémon",75,1000000,73,"Kyukonキュウコン","Ninetales",24.6,38,81,100,109,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/38.png","http://cdn.bulbagarden.net/upload/1/10/038MS.png","Fire","Fire","","3′07″",1.1,43.9,19.9,16.4,84.1666666666667
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,"Balloon Pokémon",20,800000,115,"Purinプリン","Jigglypuff",24.6,39,45,25,20,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/39.png","http://cdn.bulbagarden.net/upload/9/9c/039MS.png","Normal/Fairy","Normal","Fairy","1′08″",0.5,12.1,5.5,22,45
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,"Balloon Pokémon",45,800000,140,"Pukurinプクリン","Wigglytuff",24.6,40,85,50,45,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/40.png","http://cdn.bulbagarden.net/upload/f/f1/040MS.png","Normal/Fairy","Normal","Fairy","3′03″",1,26.5,12,12,72.5
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,"Bat Pokémon",35,1000000,40,"Zubatズバット","Zubat",50,41,30,40,55,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/41.png","http://cdn.bulbagarden.net/upload/9/96/041MS.png","Poison/Flying","Poison","Flying","2′07″",0.8,16.5,7.5,11.7,40.8333333333333
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,"Bat Pokémon",70,1000000,75,"Golbatゴルバット","Golbat",50,42,65,75,90,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/42.png","http://cdn.bulbagarden.net/upload/d/d0/042MS.png","Poison/Flying","Poison","Flying","5′03″",1.6,121.3,55,21.5,75.8333333333333
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,"Weed Pokémon",55,1059860,45,"Nazonokusaナゾノクサ","Oddish",50,43,75,65,30,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/43.png","http://cdn.bulbagarden.net/upload/a/a5/043MS.png","Grass/Poison","Grass","Poison","1′08″",0.5,11.9,5.4,21.6,53.3333333333333
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,"Weed Pokémon",70,1059860,60,"Kusaihanaクサイハナ","Gloom",50,44,85,75,40,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/44.png","http://cdn.bulbagarden.net/upload/d/d9/044MS.png","Grass/Poison","Grass","Poison","2′07″",0.8,19,8.6,13.4,65.8333333333333
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,"Flower Pokémon",85,1059860,75,"Ruffresiaラフレシア","Vileplume",50,45,110,90,50,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/45.png","http://cdn.bulbagarden.net/upload/3/3e/045MS.png","Grass/Poison","Grass","Poison","3′11″",1.2,41,18.6,12.9,81.6666666666667
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,"Mushroom Pokémon",55,1000000,35,"Parasパラス","Paras",50,46,45,55,25,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/46.png","http://cdn.bulbagarden.net/upload/7/7a/046MS.png","Bug/Grass","Bug","Grass","1′00″",0.3,11.9,5.4,60,47.5
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,"Mushroom Pokémon",80,1000000,60,"Parasectパラセクト","Parasect",50,47,60,80,30,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/47.png","http://cdn.bulbagarden.net/upload/4/41/047MS.png","Bug/Grass","Bug","Grass","3′03″",1,65,29.5,29.5,67.5
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,"Insect Pokémon",50,1000000,60,"Kongpangコンパン","Venonat",50,48,40,55,45,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/48.png","http://cdn.bulbagarden.net/upload/1/1e/048MS.png","Bug/Poison","Bug","Poison","3′03″",1,66.1,30,30,50.8333333333333
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,"Poison Moth Pokémon",60,1000000,70,"Morphonモルフォン","Venomoth",50,49,90,75,90,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/49.png","http://cdn.bulbagarden.net/upload/3/31/049MS.png","Bug/Poison","Bug","Poison","4′11″",1.5,27.6,12.5,5.6,75
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,"Mole Pokémon",30,1000000,10,"Digdaディグダ","Diglett",50,50,35,45,90,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/50.png","http://cdn.bulbagarden.net/upload/8/8b/050MS.png","Ground","Ground","","0′08″",0.2,1.8,0.8,20,44.1666666666667
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,"Mole Pokémon",60,1000000,35,"Dugtrioダグトリオ","Dugtrio",50,51,50,70,110,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/51.png","http://cdn.bulbagarden.net/upload/8/86/051MS.png","Ground","Ground","","2′04″",0.7,73.4,33.3,68,70.8333333333333
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,"Scratch Cat Pokémon",35,1000000,40,"Nyarthニャース","Meowth",50,52,50,40,90,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/52.png","http://cdn.bulbagarden.net/upload/5/50/052MS.png","Normal","Normal","","1′04″",0.4,9.3,4.2,26.3,48.3333333333333
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,"Classy Cat Pokémon",60,1000000,65,"Persianペルシアン","Persian",50,53,75,65,115,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/53.png","http://cdn.bulbagarden.net/upload/a/a7/053MS.png","Normal","Normal","","3′03″",1,70.5,32,32,73.3333333333333
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,"Duck Pokémon",48,1000000,50,"Koduckコダック","Psyduck",50,54,65,50,55,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/54.png","http://cdn.bulbagarden.net/upload/6/6b/054MS.png","Water","Water","","2′07″",0.8,43.2,19.6,30.6,53.3333333333333
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,"Duck Pokémon",78,1000000,80,"Golduckゴルダック","Golduck",50,55,95,80,85,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/55.png","http://cdn.bulbagarden.net/upload/6/64/055MS.png","Water","Water","","5′07″",1.7,168.9,76.6,26.5,83.3333333333333
